Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-22 09:30:00-04:00,308.6400146484375,268.489990234375,383.010009765625,608.5900268554688,88.68990325927734,309.2699890136719,269.7850036621094,383.32000732421875,614.8099975585938,89.96990203857422,305.8500061035156,267.4800109863281,380.32501220703125,606.9550170898438,88.37999725341797,306.05999755859375,268.6499938964844,382.8500061035156,607.489990234375,89.0199966430664,9515427,5853067,3503427,3210303,5510490
2026-05-22 10:30:00-04:00,311.0050048828125,269.0400085449219,383.239990234375,610.3690185546875,88.79010009765625,311.3999938964844,269.25,384.8500061035156,611.6500244140625,88.93000030517578,308.6199951171875,267.9100036621094,382.2300109863281,607.9299926757812,88.30999755859375,308.635009765625,268.510009765625,383.06500244140625,608.7000122070312,88.68499755859375,7739013,3519010,1315157,901421,2719344
2026-05-22 11:30:00-04:00,309.9200134277344,268.239990234375,382.2200012207031,608.6500244140625,88.61499786376953,311.0400085449219,269.30999755859375,383.6600036621094,610.4600219726562,88.91999816894531,309.7200012207031,268.05999755859375,381.8800048828125,607.7048950195312,88.41999816894531,311.0,269.0799865722656,383.239990234375,610.2449951171875,88.80000305175781,4700296,2209638,917335,670103,1821056
2026-05-22 12:30:00-04:00,309.860107421875,269.3500061035156,382.29998779296875,609.989990234375,88.46499633789062,309.989990234375,269.3599853515625,382.5185852050781,610.0499877929688,88.81999969482422,308.82000732421875,267.3500061035156,381.20001220703125,607.2999877929688,88.31999969482422,309.92999267578125,268.2449951171875,382.2001037597656,608.6900024414062,88.61499786376953,3550329,2397914,1028823,936460,1918901
2026-05-22 13:30:00-04:00,309.30999755859375,268.010009765625,380.6000061035156,610.655029296875,88.29499816894531,310.1549987792969,269.6000061035156,382.6300048828125,611.25,88.61000061035156,308.95001220703125,267.6000061035156,380.3800048828125,608.5700073242188,88.20999908447266,309.8699951171875,269.3500061035156,382.3500061035156,609.9849853515625,88.49500274658203,2598845,2641647,966682,1574998,2435264
2026-05-22 14:30:00-04:00,308.70001220703125,266.80499267578125,379.04998779296875,608.8049926757812,88.49500274658203,309.5799865722656,268.3299865722656,381.3450012207031,612.0349731445312,88.54499816894531,308.6400146484375,266.57000732421875,378.9700012207031,608.681396484375,88.16999816894531,309.31500244140625,268.0,380.6099853515625,610.655029296875,88.29499816894531,2681340,2540986,1264197,947306,1983166
2026-05-22 15:30:00-04:00,308.8800048828125,266.29998779296875,379.3900146484375,610.3699951171875,88.5999984741211,309.3999938964844,267.25,379.70001220703125,610.969970703125,88.66999816894531,307.9700012207031,266.239990234375,378.260009765625,608.510009765625,88.24099731445312,308.70001220703125,266.82000732421875,379.05999755859375,608.719970703125,88.48999786376953,4183601,3536826,1442351,1001688,2744518
2026-05-26 09:30:00-04:00,311.7200012207031,265.4440002441406,383.5,608.9400024414062,87.67500305175781,311.82000732421875,269.29998779296875,384.4125061035156,614.469970703125,88.7249984741211,309.3500061035156,265.4100036621094,379.1400146484375,605.5850219726562,87.55500030517578,309.3999938964844,267.57501220703125,380.9949951171875,609.5999755859375,88.38400268554688,9245876,8433362,3901705,3457320,5495760
