Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-04 13:30:00+00:00,276.25360107421875,271.9700012207031,378.95001220703125,605.5900268554688,92.11499786376953,280.6300048828125,273.3500061035156,384.1600036621094,608.2999877929688,92.33000183105469,274.860107421875,268.8599853515625,377.4800109863281,602.7501220703125,91.12200164794922,279.6549987792969,268.9949951171875,382.32000732421875,607.9349975585938,92.02999877929688,11843656,10840725,5588600,4215544,6369196
2026-05-04 14:30:00+00:00,276.8349914550781,273.5950012207031,378.6499938964844,608.2717895507812,91.7249984741211,278.0,276.1000061035156,380.32000732421875,613.7498779296875,92.30000305175781,276.07000732421875,271.75,376.7699890136719,605.3820190429688,91.62010192871094,276.2749938964844,271.9800109863281,378.8900146484375,605.6400146484375,92.13999938964844,5095476,11082170,2224052,3141713,2908633
2026-05-04 15:30:00+00:00,276.0899963378906,270.0801086425781,379.7532958984375,611.1599731445312,91.48500061035156,277.3699951171875,273.7099914550781,380.79998779296875,612.0900268554688,91.77999877929688,275.45001220703125,269.8999938964844,377.7601013183594,606.3516235351562,91.29989624023438,276.8500061035156,273.6499938964844,378.6400146484375,608.2401123046875,91.7300033569336,3294311,5941758,1765508,1407684,2324740
2026-05-04 16:30:00+00:00,277.0400085449219,271.69000244140625,380.94000244140625,611.8099975585938,91.3550033569336,277.3399963378906,271.69000244140625,381.32989501953125,612.8699951171875,91.61000061035156,275.9800109863281,269.739990234375,379.3999938964844,609.5900268554688,91.16999816894531,276.1000061035156,270.05999755859375,379.7250061035156,611.0999755859375,91.48500061035156,2386442,4717152,1338326,1081409,1890566
2026-05-04 17:30:00+00:00,276.7699890136719,271.2049865722656,380.92999267578125,612.156005859375,91.16709899902344,277.4200134277344,272.05999755859375,381.79998779296875,614.0,91.3499984741211,276.6300048828125,270.6300048828125,380.32501220703125,611.1400146484375,91.0,277.05999755859375,271.6650085449219,380.94000244140625,611.6900024414062,91.3499984741211,2422618,3084221,1147270,1107208,1894089
2026-05-04 18:30:00+00:00,277.0784912109375,271.7200012207031,379.75,612.3900146484375,91.1500015258789,277.6700134277344,271.7200012207031,380.989990234375,612.9299926757812,91.38999938964844,276.260009765625,270.3900146484375,379.07000732421875,610.2100219726562,91.06999969482422,276.7699890136719,271.2300109863281,380.9100036621094,612.1199951171875,91.16999816894531,3114535,3717289,1129866,1754011,2184515
2026-05-04 19:30:00+00:00,276.8399963378906,272.04998779296875,379.489990234375,610.5399780273438,91.04000091552734,277.32000732421875,272.1099853515625,380.2799987792969,613.219970703125,91.28500366210938,276.510009765625,270.67999267578125,379.0199890136719,610.0999755859375,90.91500091552734,277.0799865722656,271.75,379.760009765625,612.47998046875,91.15499877929688,4124586,3839237,1879101,1515883,3609258
2026-05-05 13:30:00+00:00,281.19000244140625,275.9200134277344,384.5050048828125,604.5,88.88999938964844,281.3800048828125,278.55999755859375,388.9599914550781,614.3400268554688,91.2300033569336,276.5010070800781,274.510009765625,380.8399963378906,603.580078125,88.88200378417969,276.8999938964844,276.20001220703125,381.1499938964844,613.3699951171875,91.20500183105469,9001566,13328745,4286576,3806697,10267636
