Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03 09:30:00-04:00,305.55010986328125,285.8399963378906,367.4200134277344,586.7949829101562,72.66500091552734,310.0299987792969,287.1600036621094,374.3399963378906,594.5999755859375,73.94999694824219,304.3399963378906,278.85009765625,363.2799987792969,559.3599853515625,72.62999725341797,309.79998779296875,279.125,364.7200012207031,564.0499877929688,72.83999633789062,15181869,34485894,7844196,8750734,6971313
2026-08-03 10:30:00-04:00,304.2149963378906,285.7699890136719,372.29058837890625,594.239990234375,73.0999984741211,306.44000244140625,286.57000732421875,372.625,594.780029296875,73.17970275878906,303.8999938964844,283.8500061035156,366.4104919433594,582.6400146484375,72.18000030517578,305.54998779296875,285.739990234375,367.4599914550781,586.7899780273438,72.66500091552734,9512430,12434880,2940593,3485835,4006943
2026-08-03 11:30:00-04:00,306.3599853515625,284.5,374.6099853515625,595.594970703125,72.87999725341797,306.3599853515625,286.40960693359375,375.2699890136719,596.9299926757812,73.2699966430664,302.55999755859375,284.0350036621094,372.1600036621094,591.5706176757812,72.69000244140625,304.2149963378906,285.7850036621094,372.3399963378906,594.1799926757812,73.1050033569336,8017561,8065237,3164532,2314798,2731045
2026-08-03 12:30:00-04:00,307.2250061035156,284.67999267578125,373.7401123046875,593.844970703125,72.97010040283203,307.5400085449219,285.5199890136719,376.0899963378906,597.52001953125,72.98999786376953,305.8999938964844,283.6304016113281,373.3399963378906,590.7999877929688,72.77020263671875,306.3500061035156,284.5,374.614990234375,595.6599731445312,72.88500213623047,6899047,4802454,1857914,1687341,2247688
2026-08-03 13:30:00-04:00,305.5202941894531,282.9100036621094,372.57000732421875,590.6798706054688,72.67500305175781,307.2300109863281,284.67999267578125,374.1199951171875,593.8812866210938,73.05000305175781,305.5,282.4849853515625,372.4400939941406,589.02001953125,72.6449966430664,307.2250061035156,284.6600036621094,373.739990234375,593.8812866210938,72.97100067138672,4746952,5063978,1736149,1450284,2587029
2026-08-03 14:30:00-04:00,305.0450134277344,284.635009765625,373.1805114746094,593.6849975585938,73.04499816894531,305.9700012207031,284.7099914550781,374.4800109863281,594.2000122070312,73.05500030517578,304.79998779296875,282.4165954589844,372.4200134277344,589.719970703125,72.58999633789062,305.5299987792969,282.8999938964844,372.60400390625,590.5850219726562,72.67500305175781,5628929,6436563,1911034,1454450,3257180
2026-08-03 15:30:00-04:00,303.2699890136719,284.0199890136719,372.4700012207031,590.530029296875,73.31999969482422,305.0799865722656,285.8999938964844,373.57000732421875,594.1699829101562,73.3499984741211,302.67999267578125,283.70001220703125,371.9150085449219,589.8499755859375,73.01000213623047,305.0450134277344,284.6499938964844,373.1805114746094,593.7000122070312,73.04000091552734,10186067,8040402,3718109,2038723,4174165
2026-08-04 09:30:00-04:00,306.80999755859375,277.5899963378906,374.8572998046875,583.6599731445312,73.56999969482422,307.1400146484375,281.07000732421875,375.9200134277344,586.3699951171875,73.58499908447266,302.45001220703125,275.82000732421875,367.8900146484375,579.9500122070312,72.30000305175781,303.7900085449219,276.05999755859375,368.75,581.1649780273438,72.44999694824219,16371244,20241867,5251010,4047840,7263045
