Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-09 13:30:00+00:00,255.7100067138672,209.0500030517578,296.7550048828125,631.0800170898438,96.83499908447266,257.0198974609375,212.2949981689453,298.2698974609375,637.6890258789062,98.94000244140625,253.6804962158203,207.11000061035156,293.989990234375,626.780029296875,96.70999908447266,255.69000244140625,210.4600067138672,294.1400146484375,634.7525024414062,97.69000244140625,7181497,13347555,4525659,3430864,9992841
2026-03-09 14:30:00+00:00,257.7300109863281,210.55999755859375,299.17999267578125,636.4199829101562,97.41000366210938,257.8800048828125,210.83999633789062,299.70001220703125,637.5800170898438,97.47000122070312,255.6300048828125,208.8300018310547,296.70001220703125,630.8200073242188,96.58000183105469,255.66000366210938,209.02999877929688,296.7300109863281,630.8200073242188,96.8301010131836,3727402,6725876,2078179,1289748,6559490
2026-03-09 15:30:00+00:00,257.57000732421875,210.11500549316406,300.5199890136719,636.719970703125,97.82389831542969,258.2699890136719,210.75,301.0899963378906,638.22998046875,97.98999786376953,257.1499938964844,209.82000732421875,298.6600036621094,635.2100219726562,97.13999938964844,257.7200012207031,210.56500244140625,299.15020751953125,636.614990234375,97.40499877929688,3050497,4403943,1625634,908345,4126455
2026-03-09 16:30:00+00:00,256.6300048828125,209.58999633789062,300.44500732421875,633.9949951171875,97.41000366210938,258.0899963378906,210.47999572753906,301.6600036621094,637.8200073242188,98.20999908447266,256.5400085449219,209.1699981689453,299.8299865722656,633.6300048828125,97.37000274658203,257.5799865722656,210.11500549316406,300.6199951171875,636.8049926757812,97.83000183105469,2401092,4161290,1380232,680621,4790565
2026-03-09 17:30:00+00:00,257.1499938964844,209.35499572753906,300.8599853515625,634.3350219726562,97.37000274658203,257.364990234375,209.92999267578125,301.6499938964844,635.7000122070312,97.67500305175781,255.9499969482422,208.8300018310547,300.25,633.010009765625,97.11000061035156,256.6499938964844,209.5800018310547,300.44000244140625,633.9949951171875,97.4000015258789,2688859,3708315,1628456,827010,3532752
2026-03-09 18:30:00+00:00,259.4800109863281,212.6750030517578,304.7550048828125,644.3300170898438,97.91000366210938,259.57000732421875,212.69000244140625,304.8349914550781,644.3800048828125,98.0999984741211,256.5199890136719,208.99000549316406,300.7900085449219,634.260009765625,97.30000305175781,257.1317138671875,209.33999633789062,300.79998779296875,634.260009765625,97.375,4105990,6976298,2522692,1196150,4592414
2026-03-09 19:30:00+00:00,259.8900146484375,213.4199981689453,306.0199890136719,647.3499755859375,98.30000305175781,261.1499938964844,213.82000732421875,306.5,647.739990234375,98.5,259.010009765625,212.42999267578125,304.20001220703125,642.760986328125,97.76000213623047,259.4599914550781,212.67999267578125,304.760009765625,644.22998046875,97.91500091552734,4821540,7206471,3152870,1695679,5451608
2026-03-10 13:30:00+00:00,259.9700012207031,214.0500030517578,306.32989501953125,652.5050048828125,96.84700012207031,260.25,214.83999633789062,308.2200012207031,659.7000122070312,98.48999786376953,256.95001220703125,212.42999267578125,305.30999755859375,649.0,96.58000183105469,257.69500732421875,214.125,305.875,653.5599975585938,97.80500030517578,5290551,7506292,2830827,2450540,8638521
