Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27 13:30:00+00:00,267.3599853515625,262.19500732421875,348.614990234375,676.1599731445312,92.80999755859375,268.3599853515625,264.1499938964844,348.739990234375,678.77001953125,92.82890319824219,265.07000732421875,260.3399963378906,340.80999755859375,670.8400268554688,91.30000305175781,266.0899963378906,263.42498779296875,343.8399963378906,670.9949951171875,92.05000305175781,10219067,13301077,5593707,3160421,6971012
2026-04-27 14:30:00+00:00,267.1099853515625,261.31500244140625,348.29998779296875,676.510009765625,92.68080139160156,267.79998779296875,263.0111999511719,349.54998779296875,682.5,92.83999633789062,266.6199951171875,260.7300109863281,347.684814453125,675.0999755859375,92.41999816894531,267.3900146484375,262.18499755859375,348.6400146484375,676.2575073242188,92.80500030517578,3251687,5554207,1854727,1940233,3403780
2026-04-27 15:30:00+00:00,266.2950134277344,263.07000732421875,349.4649963378906,675.2650146484375,92.30999755859375,267.6400146484375,263.1300048828125,349.6499938964844,676.8900146484375,92.7052001953125,266.260009765625,260.95001220703125,347.9200134277344,672.989990234375,92.22000122070312,267.1400146484375,261.3299865722656,348.32818603515625,676.5800170898438,92.6874008178711,2679704,4033071,993923,1461100,2559959
2026-04-27 16:30:00+00:00,266.8399963378906,262.75,349.9800109863281,680.0449829101562,92.06999969482422,267.0299987792969,263.4700012207031,350.17999267578125,680.0800170898438,92.31999969482422,266.2900085449219,262.2699890136719,349.0950012207031,675.25,92.0199966430664,266.2900085449219,263.0799865722656,349.4649963378906,675.25,92.30500030517578,2950643,3993728,1169936,963866,1874179
2026-04-27 17:30:00+00:00,266.34991455078125,261.7300109863281,350.3999938964844,678.9099731445312,91.95500183105469,267.04998779296875,262.9700012207031,350.8900146484375,680.5800170898438,92.15499877929688,266.0899963378906,261.42999267578125,349.93499755859375,678.4500122070312,91.88970184326172,266.8299865722656,262.7349853515625,349.98699951171875,680.0125122070312,92.06500244140625,2558668,3181435,1040539,854364,1953518
2026-04-27 18:30:00+00:00,267.1499938964844,261.0199890136719,350.1300048828125,678.6400146484375,91.83499908447266,267.2149963378906,261.9674072265625,350.6400146484375,679.8800048828125,91.96499633789062,266.1300048828125,260.9530029296875,349.6300048828125,676.635009765625,91.34500122070312,266.3500061035156,261.7200012207031,350.385009765625,678.8900146484375,91.94999694824219,2713356,4294920,1037969,990750,4435770
2026-04-27 19:30:00+00:00,267.67999267578125,261.0799865722656,348.510009765625,678.4600219726562,91.38999938964844,267.9599914550781,261.29998779296875,350.56500244140625,680.0,91.83999633789062,267.04998779296875,260.7900085449219,348.3800048828125,677.1500244140625,91.3499984741211,267.1600036621094,261.0199890136719,350.135986328125,678.6400146484375,91.83999633789062,4077895,4677048,1566026,1132318,4131193
2026-04-28 13:30:00+00:00,271.2799072265625,259.9800109863281,349.3299865722656,672.760009765625,90.84500122070312,273.2200012207031,261.0299987792969,349.83990478515625,678.1799926757812,91.62999725341797,268.6600036621094,256.6499938964844,344.2799987792969,669.8900146484375,90.0199966430664,272.3349914550781,258.4200134277344,346.92999267578125,674.4149780273438,91.4000015258789,9095136,10724715,4608154,2607553,8269857
