Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-26 09:30:00-04:00,278.260009765625,230.67999267578125,336.614990234375,550.8900146484375,74.375,278.92999267578125,231.27879333496094,340.9100036621094,551.7999877929688,74.625,274.2099914550781,226.125,334.1405029296875,540.4000244140625,71.54000091552734,275.0,227.38999938964844,340.3599853515625,542.989990234375,71.5999984741211,17026804,15716147,5230040,3027990,12450833
2026-06-26 10:30:00-04:00,279.0299987792969,232.21499633789062,341.260009765625,555.6749877929688,74.70999908447266,280.4700012207031,232.2899932861328,341.3399963378906,555.75,74.83999633789062,278.0799865722656,230.01499938964844,336.32000732421875,550.330078125,73.9800033569336,278.2799987792969,230.68499755859375,336.6600036621094,550.969970703125,74.375,10384490,8223923,2081218,1439518,8146207
2026-06-26 11:30:00-04:00,275.8999938964844,231.49000549316406,341.17999267578125,554.4400024414062,74.63999938964844,279.45001220703125,232.60499572753906,344.1199951171875,556.8499755859375,75.19999694824219,275.25,230.97000122070312,340.1600036621094,554.4000244140625,74.62000274658203,279.0259094238281,232.22000122070312,341.2300109863281,555.64501953125,74.69999694824219,13230253,8174586,2270394,1298843,5488902
2026-06-26 12:30:00-04:00,279.19500732421875,230.88999938964844,340.8550109863281,554.77001953125,74.05500030517578,279.3699951171875,232.02999877929688,341.81500244140625,556.25,74.75,275.8999938964844,230.6199951171875,339.0299987792969,553.0,73.83999633789062,275.8999938964844,231.52999877929688,341.2099914550781,554.4464111328125,74.62999725341797,7971369,5581872,2352461,1004235,6144660
2026-06-26 13:30:00-04:00,280.19000244140625,230.5,339.94000244140625,553.469970703125,74.01499938964844,281.29998779296875,231.14500427246094,341.1300048828125,555.9276123046875,74.36000061035156,278.64080810546875,230.00840759277344,339.32000732421875,553.4450073242188,73.66000366210938,279.17999267578125,230.875,340.8299865722656,554.8699951171875,74.06659698486328,8257248,7088394,2028122,1119955,7484786
2026-06-26 14:30:00-04:00,280.1499938964844,228.24000549316406,341.1199951171875,550.0800170898438,73.7699966430664,281.8299865722656,230.75999450683594,342.1600036621094,553.8599853515625,74.08000183105469,279.4100036621094,227.85000610351562,339.4599914550781,549.7899780273438,73.70999908447266,280.19500732421875,230.5,339.9200134277344,553.482421875,74.01490020751953,15570070,10502499,3447044,1581742,5753066
2026-06-26 15:30:00-04:00,281.20001220703125,230.5500030517578,334.9100036621094,549.3499755859375,73.62999725341797,285.95001220703125,232.9499969482422,342.17999267578125,552.02001953125,74.05999755859375,280.0,228.11000061035156,333.69000244140625,548.969970703125,73.06999969482422,280.1499938964844,228.19000244140625,341.2099914550781,550.0800170898438,73.7750015258789,23523027,18647634,10030911,2290873,9200233
2026-06-29 09:30:00-04:00,280.8699951171875,244.13999938964844,347.0119934082031,567.9398803710938,75.66000366210938,288.36968994140625,244.89999389648438,348.0299987792969,570.9000244140625,76.06890106201172,280.45001220703125,233.8000030517578,338.80999755859375,559.8400268554688,74.05000305175781,286.8599853515625,234.2449951171875,339.8810119628906,560.0,74.61499786376953,10629459,22033437,5384447,3932976,11572893
